word,unified_rank,moe_level,ngsl_rank
story,817,1,563
sell,818,1,564
experience,819,1,566
create,820,1,568
key,821,1,569
body,822,1,570
young,823,1,571
america,824,1,572
important,825,1,573
field,826,1,574
few,827,1,575
east,828,1,576
paper,829,1,577
single,830,1,578
age,831,1,580
club,832,1,582
example,833,1,583
latest,834,1,588
something,835,1,589
road,836,1,590
gift,837,1,591
question,838,1,592
night,839,1,594
hard,840,1,596
pay,841,1,599
four,842,1,600
issue,843,1,604
building,844,1,606
court,845,1,608
february,846,1,609
always,847,1,610
result,848,1,611
light,849,1,613
write,850,1,614
war,851,1,615
offer,852,1,617
blue,853,1,618
easy,854,1,621
event,855,1,624
release,856,1,625
china,857,1,629
picture,858,1,631
possible,859,1,633
might,860,1,634
yet,861,1,636
month,862,1,637
major,863,1,638
star,864,1,639
future,865,1,641
space,866,1,642
hand,867,1,644
sun,868,1,645
meeting,869,1,650
become,870,1,652
interest,871,1,653
child,872,1,655
keep,873,1,656
enter,874,1,657
share,875,1,660
similar,876,1,661
garden,877,1,662
million,878,1,664
baby,879,1,669
run,880,1,672
popular,881,1,675
term,882,1,676
film,883,1,677
put,884,1,679
try,885,1,684
welcome,886,1,685
central,887,1,686
president,888,1,688
notice,889,1,689
god,890,1,690
head,891,1,692
radio,892,1,693
until,893,1,694
cell,894,1,695
color,895,1,696
away,896,1,699
track,897,1,701
australia,898,1,702
discussion,899,1,703
once,900,1,705
least,901,1,710
society,902,1,711
safety,903,1,714
sure,904,1,716
trade,905,1,718
tell,906,1,723
further,907,1,724
able,908,1,727
fun,909,1,731
already,910,1,732
green,911,1,733
close,912,1,735
common,913,1,736
drive,914,1,737
specific,915,1,738
several,916,1,739
gold,917,1,740
living,918,1,742
collection,919,1,744
short,920,1,746
lot,921,1,748
ask,922,1,749
means,923,1,754
director,924,1,755
daily,925,1,756
beach,926,1,757
past,927,1,758
natural,928,1,759
whether,929,1,760
five,930,1,764
upon,931,1,765
period,932,1,766
official,933,1,770
weather,934,1,771
land,935,1,773
window,936,1,777
france,937,1,778
island,938,1,781
record,939,1,782
direct,940,1,783
environment,941,1,786
calendar,942,1,790
front,943,1,794
ever,944,1,799
early,945,1,801
sound,946,1,803
present,947,1,805
either,948,1,807
ago,949,1,808
word,950,1,810
material,951,1,812
bill,952,1,813
talk,953,1,816
adult,954,1,821
thing,955,1,823
cheap,956,1,827
finance,957,1,830
true,958,1,831
else,959,1,833
mark,960,1,834
third,961,1,835
rock,962,1,836
europe,963,1,838
bad,964,1,841
individual,965,1,842
plus,966,1,844
cover,967,1,846
usually,968,1,847
together,969,1,849
percent,970,1,851
fast,971,1,852
function,972,1,853
fact,973,1,854
unit,974,1,855
meet,975,1,859
far,976,1,860
